p_fail,count
0.03355192709593168,1019
0.17398087221304445,460
0.2799185900586394,160
0.0036284902985924987,2238
0.6992376656635354,51
0.6731237081433272,48
0.028468055067267593,1016
0.32002164416948825,154
0.2026851434249111,147
0.17902256490123408,450
0.2367058627453802,163
0.47715529303391646,157
0.8032351390669069,43
0.42337262860731006,173
0.09925880958991853,475
0.04903911380460984,983
0.245840599073897,179
0.005135343505317478,1695
0.6834198378614529,31
0.3564432552429474,137
0.07922255219273454,442
0.10668428963594152,475
0.15681288972397184,451
0.04262322426808259,1035
0.24347953253211374,184
0.0570071868903574,477
0.19589014225888435,458
0.14254609938851376,461
0.1389774902203429,465
0.0349310526595945,724
0.6273268620114087,41
0.0024055032730598905,1365
0.0632866555284156,497
0.13270628359762937,442
0.7680579319911268,48
0.16408569975643816,483
0.12419949932848655,448
0.21467878964187226,161
0.1911644138345308,478
0.0390201348974606,955
0.014419466879000326,973
0.7292646101245557,45
0.03053017947134217,1054
0.9545444877868168,41
0.21346377383116383,107
0.06809400127531759,476
0.037514412661552025,746
0.11726852425501731,459
0.38978318575865717,153
0.07747089780520983,404
0.507623794335342,36
0.49613041322807705,191
0.1441146399168397,362
0.04041399085418942,779
0.09016364424922596,441
0.017737867161700935,998
0.08744073369046576,510
0.04625162455549904,1004
0.16676670304168167,495
0.09807008781337279,255
0.9173193845584389,53
0.3448999534989192,155
0.06142529799191705,417
0.31879456846565446,102
0.0844077616268285,463
0.18561452021123015,484
0.20054648874818917,223
0.022659126530252677,947
0.4580844794231768,162
0.05844156796364469,327
0.13081756100670755,430
0.4185149379146398,158
0.07285699244461191,442
0.18761073486256097,438
0.2622240208124761,176
0.47480473603095963,166
0.43008726384775847,159
0.3742879683950535,163
0.5420231871685854,43
0.07121780727738805,358
0.4001631884814066,185
0.25378153063083825,192
0.6751910543006873,51
0.9683876788682865,46
0.09195111208827408,415
0.4715899898397359,164
0.19318581904025495,465
0.1351384770308537,462
0.8899950235241628,51
0.35910105508186885,155
0.007175677434661088,2244
0.0011729788169888191,461
0.14064802868170134,341
0.15358284497241037,459
0.07558052052632336,479
0.936731822692842,44
0.043888921095765324,621
0.16959471831655182,481
0.3795507728746072,159
0.8852419220794755,50
0.2318545613237129,169
0.4410297900491597,159
0.9477354751693122,33
0.2577586373507996,166
0.38601500507147285,159
0.5768563710857588,45
0.4638535485488557,194
0.4425623600203066,109
0.2756958362417903,173
0.3329943949423205,166
0.8975394142193917,36
0.02594984574626763,1007
0.2653338604749578,177
