p_s,fraction,error
1.0,0.11146193189878609,0.0002487011258518
3.1622776601683795,0.11166963128747923,0.0003917375822323
10.0,0.11209680048566768,0.000354498672271
31.622776601683793,0.11297468333602889,0.0002826024123335
100.0,0.11477603802730761,0.0004804066853543
316.22776601683796,0.1184605510934728,0.0010688778080391998
1000.0,0.12594809347643177,0.0017424964610224
3162.2776601683795,0.14096510374969634,0.0007141004896086
10000.0,0.17030377867631905,0.0012295566813777
31622.776601683792,0.22479439528143014,0.0012825808532273
100000.0,0.3171012695586315,0.0013836111066502
316227.7660168379,0.4515183288030089,0.0010833174585691
1000000.0,0.6096522122214854,0.0014816650793611
3162277.6601683795,0.7550200831230037,0.0009393338919133
10000000.0,0.8613162235959844,0.0005941069265164
31622776.60168379,0.9267394785984191,0.0003197281880035
100000000.0,0.9628291998694329,0.0001146509059996
316227766.01683795,0.9815427384884291,0.0
1000000000.0,0.9909352843351958,0.0
3162277660.1683793,0.9955724606934345,0.0
10000000000.0,0.9978432436906888,0.0
31622776601.683792,0.9989507761854515,0.0
100000000000.0,0.9994898983927495,0.0
316227766016.83795,0.9997520810426032,0.0
1000000000000.0,0.9998795250103202,0.0
