p_s,mean_iterations,stdev_iterations
1,0.1112444444444256,0.005074822869861671
3.1622776601683795,0.11116388888887006,0.0017339186155734376
10,0.11116666666664785,0.0015703660027894045
31.622776601683793,0.1114166666666478,0.00560250990931483
100,0.11241111111109192,0.009010015003892195
316.22776601683796,0.11601666666664597,0.019397014375070493
1000,0.12407499999998718,0.02902599821764327
3162.2776601683795,0.1522722222222443,0.04048575385776609
10000,0.17960833333335058,0.06338836053679425
31622.776601683792,0.23464444444437596,0.09031500155659544
100000,0.3178722222222285,0.11724327233325538
316227.7660168379,0.4438972222222126,0.13699743146078835
1000000,0.6042194444444973,0.13285837392933433
3162277.6601683795,0.7715833333334174,0.10076126518523822
10000000,0.895591666666576,0.054478973673616836
31622776.60168379,0.9628000000000431,0.023510297192379043
100000000,0.9882444444446155,0.013724070950587497
316227766.01683795,1,0
1000000000,1,0
3162277660.1683793,1,0
10000000000,1,0
31622776601.683792,1,0
100000000000,1,0
316227766016.83795,1,0
1000000000000,1,0
