p_fail,meanmean,meanstdev,stdevmean,stdevstdev
0.05,0.0012512113896063098,0.0008321804666414119,0.16860972078329217,0.002353354684527031
0.06,-0.000525697648825818,0.0009566605479521468,0.17046748220346464,0.001012340639615504
0.07,0.00012066292355437335,0.0014234844108714823,0.16971756618264752,0.0015372181825288598
0.08,-0.0003734229709817543,0.0016776158808891916,0.17030330984942696,0.0011826181381896107
0.09,-0.00029144084752099144,0.00091729761253241,0.1703890165491946,0.001398429075375857
0.1,-0.00038677852775177913,0.0017081778018539428,0.16954465251890333,0.001271763054172977
0.11,-0.0010629754285200186,0.0018666706950474675,0.1699283127121362,0.0012784005742232495
0.12,0.0001232882544981603,0.002014480314653432,0.16967185205774843,0.0013523685948760133
0.13,-0.0007594846334521417,0.001983984330906004,0.17029632647760937,0.0018207664883394517
0.14,-0.0000188108825645218,0.0016323842841744257,0.17013026921009736,0.0011030583095689996
0.15,-0.00036716849159099975,0.0017332728539017734,0.16910043745497808,0.0009904539648358023
0.16,0.0006004483616163204,0.0011781663672696342,0.1685728322465183,0.0012744264693271975
0.17,0.000755447151312643,0.0011932721531878589,0.16876018499820802,0.0016011750681573552
0.18,-0.00010300040168533945,0.002041491046369677,0.17087657469128922,0.0010970207363306878
0.19,0.00032668488412917286,0.001477886670547745,0.1697267496810014,0.001434406563321406
0.2,0.0002406363948692271,0.0011227434540017186,0.17013062232761467,0.0014770880704979778
0.21,0.0007192199753140858,0.0012470480170603477,0.17014154189691147,0.001108581680226223
0.22,0.00003585962847647932,0.001206230048710665,0.17025854017708505,0.0019460681390630792
0.23,0.000007130523639821176,0.001360169883034601,0.16738393178734373,0.006000861541292367
0.24,0.0007637128137375901,0.001153250696966307,0.16920881279599373,0.0022351453588217917
0.25,0.0000045875336886518655,0.0017435080896937116,0.17046978935943244,0.0014979236457332882
0.26,-0.0005741101310588226,0.0014010544985901998,0.16985006656941584,0.0012362718901992096
0.27,-0.00017239491619877616,0.0009166047259331546,0.169147850028008,0.0023564786117079755
0.28,-0.00043507310242517865,0.0009827952602274967,0.16907257792956654,0.0022398693962042138
0.29,-0.0009398903312186591,0.0011636064013657705,0.16938464368664305,0.0015647246878424759
0.3,-0.00006151038171426546,0.0012689501366094584,0.16864111511982036,0.0017170690815604978
0.31,0.0003942436321691274,0.001778307831366583,0.1695250077510486,0.0024002571629312065
0.32,-0.00012633714569818002,0.0013521409750422806,0.16922786134199902,0.0013201108167412714
0.33,0.0007647053454383731,0.0022340142293435588,0.16963725192659718,0.0014209610038075193
0.34,-0.0007667011743306948,0.0010309010354338565,0.1703958463209439,0.0011445643095885512
0.35,-0.00048719777352891944,0.0009627929388714118,0.1705311989123441,0.0007360485248766896
0.36,-0.0005320308983248996,0.0006483363093180933,0.16978097635800404,0.0012302538007636589
0.37,0.0003124720459855541,0.0010754022699415837,0.16850206777409998,0.0024022444308476757
0.38,-0.00018248921754464902,0.0011127280965762339,0.16996175378054498,0.0011860040360161788
0.39,0.0003647188385620862,0.0017549315589979405,0.16983906263351642,0.0016740870943466
0.4,-0.00011096871019518948,0.0014795996012133684,0.1701447833063432,0.0009476694489939327
0.41,0.0010695757545746223,0.0012723158540206966,0.16990737461859626,0.001351957982263132
0.42,-0.0005937157606348345,0.0011640121920402711,0.1703630978191581,0.0020336027939813726
0.43,0.0009033249929326556,0.0013959177981732233,0.16943357502285653,0.0014977056702971628
0.44,0.0009384043949742281,0.0013772761871053392,0.1691603244119419,0.0012812293377716555
0.45,0.000628332566036161,0.0009832014018866051,0.17011117496642442,0.0010279186492146279
0.46,0.0009384257891854752,0.0014932299328931332,0.16932510232496867,0.0006398020546801453
0.47,0.00029365078444710624,0.0016121722605746997,0.16965901266135183,0.0008253218291381109
0.48,0.0007334094262569025,0.0020355590388626745,0.1699251125065225,0.001218073461793676
0.49,0.000030405753789014952,0.000868525359783321,0.16967846162289926,0.0015407279931157866
0.5,-0.0016089056959904713,0.001975035643160613,0.1699492095138512,0.001515648285159671
