n,k_obs_mean,k_obs_stdev,k_predicted
1,373.8614,373.98656979902375,1712
3,122.353,124.15941603841438,577
10,36.8869,37.25310870773049,179
31,11.5098,12.118304500216967,64
100,3.5247,3.939313380527021,26
316,1.0279,1.4332207052648944,14
1000,0.45,0.804425260667538,11
3162,0.2991,0.6305863858346998,10
10000,0.1593,0.4371767491530625,9
31622,0.0881,0.31327047419121834,9
100000,0.0483,0.22840120402483863,9
