balance_factor,p_s,compute,bias,compute_delta,bias_delta,p_s_error
0.4397603609302721,7075986.5312683415,0.8340056562901547,0.034923980984577774,,,38309.08555332642
0.47137531341167194,4712353.17173294,0.796834551241772,0.04376948888537019,0.03717110504838261,0.008845507900792415,26969.217358407972
0.505263106533568,3345981.5867024474,0.761252120686362,0.0527939639097888,0.035582430555409994,0.00902447502441861,19776.185780384847
0.5415871378079465,2482821.6719402587,0.7272155669976892,0.062011950056192366,0.034036553688672866,0.009217986146403567,14586.398587527303
0.5805225516094895,1902292.491434143,0.6946734151985441,0.07143493608286805,0.0325421517991451,0.009422986026675684,16373.253761128843
0.6222570836730231,1493232.1680679882,0.6635700195868398,0.08107249775748876,0.031103395611704276,0.00963756167462071,12546.519035068675
0.6669919663030115,1194442.8901849021,0.6338480692672935,0.09093292261449054,0.029721950319546275,0.009860424857001782,9801.218434469796
0.7149428986597577,969878.6602992786,0.6054500675627505,0.10102357885358987,0.028398001704542986,0.010090656239099327,7798.424930782459
0.7663410868007446,797143.6145886608,0.578319237720369,0.11135114570893673,0.027130829842381576,0.01032756685534686,6310.566180207997
0.8214343584919422,661707.1091484851,0.5524000867526427,0.12192176344908129,0.025919150967726234,0.010570617740144561,5185.209093173973
0.8804883581643465,553797.4775229025,0.5276387555758503,0.13274113415739025,0.024761331176792467,0.010819370708308962,3424.537684453157
0.9437878277775371,466642.1396821719,0.5039832306511693,0.1438145910491036,0.023655524924680926,0.011073456891713351,2865.514122849025
1.011637979766207,395424.7188014891,0.48138346342543936,0.1551471469891022,0.022599767225729983,0.011332555939998601,2425.306820552043
1.0843659686896086,336643.01879788603,0.4597914272066437,0.16674352891464067,0.021592036218795685,0.011596381925538468,2073.8850796386328
1.162322468679852,287700.5933064384,0.4391611310611918,0.1786082025598113,0.020630296145451865,0.011864673645170631,1789.7677150738375
1.2458833642950082,246639.39123075904,0.4194486040250621,0.19074539048812006,0.01971252703612969,0.012137187928308757,1557.354412419024
1.3354515629298973,211960.3060229557,0.4006118588469255,0.20315908558190904,0.018836745178136605,0.012413695093788979,1365.1528564367568
1.4314589375234785,182500.02316991298,0.38261084177079974,0.21585306160272372,0.01800101707612578,0.012693976020814679,1582.2296518460837
1.53436840893001,157344.81426120622,0.36540737301900583,0.22883088210699748,0.017203468751793904,0.012977820504273763,1400.1106187514004
1.6446761779946628,135769.11216651194,0.3489650813523363,0.24209590880868787,0.01644229166666955,0.013265026701690386,1245.7615458356568
1.762914118095948,117191.03663431795,0.33324933517675526,0.25565131038572136,0.015715746175581025,0.013555401577033499,1113.8294491809067
1.8896523396912077,101139.72142971402,0.31822717201560835,0.2695000727091417,0.015022163161146906,0.01384876232342036,1000.1437416795654
2.0255019392306663,87230.99160676126,0.3038672276959582,0.2836450115233407,0.014359944319650153,0.014144938814198982,901.4241051061838
2.1711179456945007,75149.03643757894,0.29013966625593074,0.2980887887225954,0.013727561440027458,0.014443777199254715,815.0671958550658
2.327202478960407,64632.445878820094,0.27701611133262666,0.31283393356179195,0.013123554923304082,0.014745144839196533,694.6342910163899
2.4945081352303164,55463.462448926795,0.26446957961441186,0.3278828704256232,0.012546531718214793,0.015048936863831242,630.170064733996
2.673841615839944,47459.62987290567,0.2524744168225018,0.34323795519145667,0.011995162791910041,0.015355084765833471,572.7882924143943
2.8660676169482504,40467.2474730225,0.24100623661639609,0.3589015228053514,0.011468180206105738,0.015663567613894758,521.3708420540305
3.072112998861753,34356.1986993527,0.23004186279315253,0.3748759495257467,0.010964373823243556,0.015974426720395285,474.99636238849314
3.292971255097148,29015.83528249339,0.21955927517514146,0.39116373449823644,0.010482587618011074,0.016287784972489727,432.8994415541133
3.52970730273065,24351.679701943078,0.20953755966636217,0.40776760710724885,0.010021715508779283,0.016603872609012416,394.4386292449205
3.783462617131925,20282.76768903844,0.19995686312758615,0.4246906692387182,0.009580696538776023,0.016923062131469324,348.3035468723617
4.0554607358408274,16739.495927913656,0.19079835402106576,0.44193658575202105,0.009158509106520385,0.017245916513302872,316.0883864881659
4.3470131581250175,13661.872571504486,0.18204419029141206,0.4595098431135138,0.008754163729653708,0.017573257361492733,286.16642149899826
4.659525668664678,10998.092938729778,0.17367749684347317,0.4774161071681227,0.008366693447938889,0.017906264054608934,258.16486816475094
4.99450511585514,8703.38229974444,0.16568235657559854,0.49566273008029343,0.007995140267874623,0.018246622912170718,231.74925459810032
5.3535666774107185,6739.064143089703,0.15804382191149988,0.5142594911125706,0.007638534664098667,0.018596761032277198,206.60965251329176
5.738441648302393,5071.828135166346,0.150747959687534,0.5332197228240863,0.007295862223965888,0.018960231711515618,111.79331205382273
6.150985788580504,3673.190852990972,0.14378195487607218,0.5525621136535743,0.006966004811461812,0.019342390829488076,96.76800872724301
6.593188271333542,2519.1723035460627,0.1371343282915216,0.5723137974453947,0.006647626584550564,0.01975168379182035,82.17958515485027
7.067181273927491,1590.2741484187452,0.13079540266708017,0.5925161730011257,0.006338925624441438,0.02020237555573101,159.3991306181256
